Скважина,Наличие ГТМ,Тип ГТМ,Дата начала,Дата окончания,Обоснование
60016,Да,Изменение частоты вращения ЭЦН,2026-05-02,2026-05-03,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 02.05.2026. Базовый дебит Q_base = 10.0 т/сут. Окончание эффекта: 03.05.2026.
65051,Да,Изменение частоты вращения ЭЦН,2026-01-09,2026-01-10,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 09.01.2026. Базовый дебит Q_base = 18.4 т/сут. Окончание эффекта: 10.01.2026.
65080,Да,Изменение частоты вращения ЭЦН,2026-01-04,2026-01-05,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 04.01.2026. Базовый дебит Q_base = 11.3 т/сут. Окончание эффекта: 05.01.2026.
65084,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75069,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75279У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75410У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75484У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75486У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
77203У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
80670,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
80692,Да,Изменение частоты вращения ЭЦН,2026-07-03,2026-07-04,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 03.07.2026. Базовый дебит Q_base = 1.9 т/сут. Окончание эффекта: 04.07.2026.
